τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
ἀργυροῖ A1C-NPM--- ἀργυροῦς
διακόσιοι A1A-NPM--- διακόσιοι
καὶ C--------- καί
σκεύη N3E-NPN--- σκεῦος
ἕτερα A1A-NPN--- ἕτερος
χίλια A1A-NPN--- χίλιοι

Ezr 1:11
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
σκεύη N3E-NPN--- σκεῦος
τῷ RA--DSM--- ὁ
χρυσῷ A1C-DSM--- χρυσοῦς
καὶ C--------- καί
τῷ RA--DSM--- ὁ
ἀργύρῳ N2--DSM--- ἄργυρος
πεντακισχίλια A1A-NPN--- πεντακισχίλιοι
καὶ C--------- καί
τετρακόσια A1A-NPN--- τετρακόσιοι
τὰ RA--NPN--- ὁ
πάντα A3--NPN--- πᾶς
ἀναβαίνοντα V1--PAPASM βαίνω ἀνα
μετὰ P--------- μετά
Σασαβασαρ N---GSM--- Σασαβασαρ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἀποικίας N1A-GSF--- ἀποικία
ἐκ P--------- ἐκ
Βαβυλῶνος N3W-GSF--- Βαβυλών
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ

Ezr 2:1
καὶ C--------- καί
οὗτοι RD--NPM--- οὗτος
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
τῆς RA--GSF--- ὁ
χώρας N1A-GSF--- χώρα
οἱ RA--NPM--- ὁ
ἀναβαίνοντες V1--PAPNPM βαίνω ἀνα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
τῆς RA--GSF--- ὁ
ἀποικίας N1A-GSF--- ἀποικία
ἧς RR--GSF--- ὅς
ἀπῴκισεν VAI-AAI3S- οἰκίζω ἀπο
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
βασιλεὺς N3V-NSM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
εἰς P--------- εἰς
Βαβυλῶνα N3W-ASF--- Βαβυλών
καὶ C--------- καί
ἐπέστρεψαν VAI-AAI3P- στρέφω ἐπι
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
καὶ C--------- καί
Ιουδα N---ASM--- Ἰουδά
ἀνὴρ N3--NSM--- ἀνήρ
εἰς P--------- εἰς
πόλιν N3I-ASF--- πόλις
αὐτοῦ RD--GSM--- αὐτός

Ezr 2:2
οἳ RR--NPM--- ὅς
ἦλθον VBI-AAI3P- ἔρχομαι
μετὰ P--------- μετά
Ζοροβαβελ N---GSM--- Ζοροβαβελ
Ἰησοῦς N---NSM--- Ἰησοῦς
Νεεμιας N---NSM--- Νεεμιας
Σαραιας N---NSM--- Σαραιας
Ρεελιας N---NSM--- Ρεελιας
Μαρδοχαιος N---NSM--- Μαρδοχαιος
Βαλασαν N---NSM--- Βαλασαν
Μασφαρ N---NSM--- Μασφαρ
Βαγουι N---NSM--- Βαγουι
Ρεουμ N---NSM--- Ρεουμ
Βαανα N---NSM--- Βαανα
ἀνδρῶν N3--GPM--- ἀνήρ
ἀριθμὸς N2--NSM--- ἀριθμός
λαοῦ N2--GSM--- λαός
Ισραηλ N---GSM--- Ἰσραήλ

Ezr 2:3
υἱοὶ N2--NPM--- υἱός
Φορος N---GSM--- Φορος
δισχίλιοι A1A-NPM--- δισχίλιοι
ἑκατὸν M--------- ἑκατόν
ἑβδομήκοντα M--------- ἑβδομήκοντα
δύο M--------- δύο

Ezr 2:4
υἱοὶ N2--NPM--- υἱός
Σαφατια N---GSM--- Σαφατια
τριακόσιοι A1A-NPM--- τριακόσιοι
ἑβδομήκοντα M--------- ἑβδομήκοντα
δύο M--------- δύο

Ezr 2:5
υἱοὶ N2--NPM--- υἱός
Ηρα N---GSM--- Ηρα
ἑπτακόσιοι A1--NPM--- ἑπτακόσιοι
ἑβδομήκοντα M--------- ἑβδομήκοντα
πέντε M--------- πέντε

Ezr 2:6
υἱοὶ N2--NPM--- υἱός
Φααθμωαβ N---GSM--- Φααθμωαβ
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ιησουε N---GSM--- Ιησουε
Ιωαβ N---GSM--- Ιωαβ
δισχίλιοι A1A-NPM--- δισχίλιοι
ὀκτακόσιοι A1A-NPM--- ὀκτακόσιοι
δέκα M--------- δέκα
δύο M--------- δύο

Ezr 2:7
υἱοὶ N2--NPM--- υἱός
Αιλαμ N---GSM--- Αιλαμ
χίλιοι A1A-NPM--- χίλιοι
διακόσιοι A1A-NPM--- διακόσιοι
πεντήκοντα M--------- πεντήκοντα
τέσσαρες A3--NPM--- τέσσαρες

Ezr 2:8
υἱοὶ N2--NPM--- υἱός
Ζαθουα N---GSM--- Ζαθουα
ἐννακόσιοι A1--NPM--- ἐννακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
πέντε M--------- πέντε

Ezr 2:9
υἱοὶ N2--NPM--- υἱός
Ζακχου N---GSM--- Ζακχου
ἑπτακόσιοι A1--NPM--- ἑπτακόσιοι
ἑξήκοντα M--------- ἑξήκοντα

Ezr 2:10
υἱοὶ N2--NPM--- υἱός
Βανουι N---GSM--- Βανουι
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
δύο M--------- δύο

Ezr 2:11
υἱοὶ N2--NPM--- υἱός
Βαβι N---GSM--- Βαβι
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
εἴκοσι M--------- εἴκοσι
τρεῖς M---NPM--- τρεῖς

Ezr 2:12
υἱοὶ N2--NPM--- υἱός
Ασγαδ N---GSM--- Ασγαδ
τρισχίλιοι A1A-NPM--- τρισχίλιοι
διακόσιοι A1A-NPM--- διακόσιοι
εἴκοσι M--------- εἴκοσι
δύο M--------- δύο

Ezr 2:13
υἱοὶ N2--NPM--- υἱός
Αδωνικαμ N---GSM--- Αδωνικαμ
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
ἑξήκοντα M--------- ἑξήκοντα
ἕξ M--------- ἕξ

Ezr 2:14
υἱοὶ N2--NPM--- υἱός
Βαγοι N---GSM--- Βαγοι
δισχίλιοι A1A-NPM--- δισχίλιοι
πεντήκοντα M--------- πεντήκοντα
ἕξ M--------- ἕξ

Ezr 2:15
